ZPN,Symbol,Footprint,Manufacturer Part Number,Manufacturer,Description,Pins,Rows,Pitch,Plating,Orientation,Mounting Type,Voltage Rating,Max Current Rating,Qualifications,Min Operating Temperature,Max Operating Temperature,Max Current - Power Connections,Voltage Rating - Power Connections,Diameter
ZPN-0000048-6,Zelos_NonStandard:ADF6-60-03.5-L-4-2-TR,Zelos:ADF6-60-03.5-L-4-2-FR,ADF6-60-03.5-L-4-2-TR,Samtec,"CONN,ADF6,BGA,B2B,3.5MM,240PINS,0.635MM,AU",240,2,635µm,AU,Vertical,BGA,50V,1A,,55°C,125°C,,200V,
ZPN-0000185-5,Zelos_Standard:72-Pin Female Header,Zelos:72P-2R-254x254-130IP-FHDR-TH,PPTC362LFBN-RC,Sullins,"CONN,FEMALE,HDR,TH,72PINS,2.54MM",72,2,2.54mm,Sn,Vertical,TH,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000194-2,Zelos_Standard:10-Pin Female Header,Zelos:10P-1R-254x330-FHDR-SMT,NPTC101KFXC-RC,Sullins,"CONN,FHDR,SMT,10PINS,2.54MM",10,1,2.54mm,Au,Vertical,SMT,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000179-2,Zelos_Standard:16-Pin Female Header,Zelos:16P-2R-254x254-FHDR-SMT,NPTC082KFMS-RC,Sullins,"CONN,FHDR,SMT,16PINS,2.54MM",16,2,2.54mm,Sn,Vertical,SMT,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000180-2,Zelos_Standard:20-Pin Female Header,Zelos:20P-2R-254x254-FHDR-SMT,NPTC102KFMS-RC,Sullins,"CONN,FHDR,SMT,20PINS,2.54MM",20,2,2.54mm,Sn,Vertical,SMT,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000181-2,Zelos_Standard:30-Pin Female Header,Zelos:30P-2R-254x254-FHDR-SMT,NPTC152KFMS-RC,Sullins,"CONN,FHDR,SMT,30PINS,2.54MM",30,2,2.54mm,Sn,Vertical,SMT,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000182-2,Zelos_Standard:34-Pin Female Header,Zelos:34P-2R-254x254-FHDR-SMT,NPPC172KFMS-RC,Sullins,"CONN,FHDR,SMT,34PINS,2.54MM",34,2,2.54mm,Au,Vertical,SMT,250V,3A,UL94 V-0,-40°C,125°C,,,
ZPN-0000183-1,Zelos_Standard:15-Pin Female Header,Zelos:15P-1R-254x254-130IP-FHDR-TH,PPTC151LFBN-RC,Sullins,"CONN,FHDR,TH,15PINS,2.54MM",15,1,2.54mm,Sn,Vertical,TH,250V,3A,UL94 V-0,-40°C,105°C,,,
ZPN-0000195-1,Zelos_Standard:2-Pin Female Header,Zelos:2P-1R-254x254-FHDR-TH,PPPC021LFBN-RC,Sullins,"CONN,FHDR,TH,2PINS,2.54MM",2,1,2.54mm,Au,Vertical,TH,250V,3A,UL94 V-0,-40°C,105°C,,,
ZPN-0000078-4,Zelos_NonStandard:FTSH-105,Zelos:FTSH-105-01,FTSH-105-01-L-DV-K-A-P,Samtec,"CONN,FTSH,SMD,10PINS,1.27MM,AU",10,2,1.27mm,Au,Vertical,SMD,,3.4A,,-55°C,125°C,,,
ZPN-0000002-4,Zelos_NonStandard:FX18-140P-0.8SV,Zelos:,FX18-140P-0.8SV,Hirose,"CONN,FX18,SMD,B2B,10MM,140PINS,0.8MM,AU",140,2,,AU,Vertical,SMT,100V,500mA,,-55°C,85°C,,,
ZPN-0000024-3,Zelos_NonStandard:FX23L-120S-0.5SV,Zelos:FX23L-120S-0.5SV,FX23L-120S-0.5SV,Hirose,"CONN,FX18,SMD,B2B,FLOATING,5MM,120PINS,0.5MM,AU",120+4,2,500µm,AU,Vertical,SMT,50V,500mA,,55°C,105°C,3A,200V,
ZPN-0000164-3,Zelos_NonStandard:FX23-120P-0.5SV20,Zelos:FX23-120P-0.5SV20,FX23-120P-0.5SV20,Hirose,"CONN,FX23,SMD,B2B,FLOATING,15MM,120PINS,0.5MM,AU",120+4,2,500µm,AU,Vertical,SMT,50V,500mA,,55°C,105°C,3A,200V,
ZPN-0000198-2,Zelos_Standard:4-Pin Header,Zelos:4P-1R-254x254-HDR-TH,PREC004SAAN-RC,Sullins,"CONN,HDR,TH,4PINS,2.54MM",4,1,2.54mm,Sn,Vertical,TH,250V,3A,UL94 V-0,-40°C,105°C,,,
ZPN-0000170-2,Zelos_Standard:Banana R/A - BLACK,Zelos:FCR7350B,FCR7350B,CLIFF,"CONN,HDR,R/A,BANANA,BLACK",1,1,,AU,RA,TH,1kV,24A,CAT III,-40°C,80°C,,,
ZPN-0000169-2,Zelos_Standard:Banana R/A - RED,Zelos:FCR7350R,FCR7350R,CLIFF,"CONN,HDR,R/A,BANANA,RED",1,1,,AU,RA,TH,1kV,24A,CAT III,-40°C,80°C,,,
ZPN-0000196-2,Zelos_Standard:2-Pin Header,Zelos:2P-1R-254x254-HDR-TH,PREC002SAAN-RC,Sullins,"CONN,HDR,TH,2PINS,2.54MM",2,1,2.54mm,Sn,Vertical,TH,250V,3A,UL94 V-0,-40°C,105°C,,,
ZPN-0000197-2,Zelos_Standard:3-Pin Header,Zelos:3P-1R-254x254-HDR-TH,PREC003SAAN-RC,Sullins,"CONN,HDR,TH,3PINS,2.54MM",3,1,2.54mm,Sn,Vertical,TH,250V,3A,UL94 V-0,-40°C,105°C,,,
ZPN-0000074-3,Zelos_Standard:64-Pin Header,Zelos:64P-2R-254x254-HDR-TH,3-826942-2,TE Connectivity,"CONN,HDR,TH,64PINS,2.54MM",64,2,2.54m,Tin,Vertical,TH,,5A,,-65°C,105°C,,,
ZPN-0000075-6,Zelos_Standard:72-Pin Header,Zelos:72P-2R-254x254-130IP-HDR-TH,10129381-972001BLF,Amphenol ICC,"CONN,HDR,TH,72PINS,2.54MM",72,2,2.54m,Au,Vertical,TH,110V,3A,,-55°C,105°C,,,
ZPN-0000171-2,Zelos_Standard:Barrel Jack,Zelos:54-00130,54-00130,Tensility,"CONN,JACK,5.5MMx2.5MM,TH,RA,3PINS",3,,,Silver,RA,TH,48V,6.5A,,-25°C,85°C,,,ID:2.5mm / OD:5.5mm
ZPN-0000016-3,Zelos_Standard:Barrel Jack,Zelos:54-00166,54-00166,Tensility,"CONN,JACK,5.5MMx2MM,TH,RA,3PINS",3,,,Tin,RA,TH,48V,6A,,-20°C,70°C,,,
ZPN-0000086-2,Zelos_Standard:M.2 - M Key,Zelos:MDT420M01002,MDT420M01002,Amphenol ICC,"CONN,M.2,FEMALE,M KEY,67PINS,0.5MM,SMD,AU",67,2,500µm,Au,RA,SMD,50V,500mA,,-40°C,80°C,,,
ZPN-0000077-3,Zelos_NonStandard:430450412,Zelos:430450412,430450412,Molex,"CONN,MICROFIT 3.0,TH,4PINS,3MM,SN",4,2,3mm,Sn,Vertical,TH,600V,8A,,-40°C,105°C,,,
ZPN-0000000-5,Zelos_NonStandard:AXK6A2347YG,Zelos:FP-AXK6A2347YG-MFG,AXK6A2347YG,Panasonic,"CONN,P5K,SMD,B2B,3MM,120PINS,0.5MM,AU",120,2,,AU,Vertical,SMT,60V,500mA,,-55°C,85°C,,,
ZPN-0000066-4,Zelos_NonStandard:RJ45 - Single,Zelos:RJ45 - Single - TH - YEL/GRE,MTJ-88ARX1-FSM-LG,Adam Tech,"CONN,RJ45,RA,TH,SHIELD,LED Y-G,8P8C,AU",12,2,,Au,RA,TH,,,,-40°C,85°C,,,
ZPN-0000088-2,Zelos_Standard:Standoff,Zelos:Standoff - M2.5 - OD5.1 - H2.5,9774025151R,Wurth,"CONN,STNDFF M2.5, OD5.1, H2.5",1,,,Sn,Vertical,SMD,,,,,,,,
ZPN-0000088-3,Zelos_Standard:Standoff,Zelos:Standoff - M2.5 - OD5.1 - H2.5,9774025151R,Wurth,"CONN,STNDFF,SMT,M2.5,OD5.1,H2.5",1,,,Sn,Vertical,SMD,,,,,,,,
ZPN-0000061-5,Zelos_Standard:Test Point - TestPoint,Zelos:TP - TH - OD 4mm - ID 2.39mm,2501-2-00-80-00-00-07-0,Mill-Max,"CONN,TP,TURRET,8.33MM,2.39MM",1,,,,Vertical,TH,,,,,,,,
ZPN-0000065-4,Zelos_Standard:USB-A - Single,Zelos:USB-A - TH - Shielded,GSB12121RSKHR,Amphenol ICC,"CONN,USB-A,RA,TH,SHIELD,4PINS,AU",4+2,1,,Au,RA,TH,30V,1.5A,,-40°C,85°C,,,
