ZPN,Symbol,Footprint,MPN,Manufacturer,Description,Capacitance,"""Voltage Rating""",Tolerance,"""Capacitor Type""",Polarized,"""Temperature Coefficient""","""Min Operating Temperature""","""Max Operating Temperature""",Qualifications,"""Mounting Type""",Package,"""Pin Count""",ESR,Impedance,Ripple Current,Lifetime
ZPN-0000049-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3216X17N1,12063D106KAT2A,Kyocera,"CAP,CER,10UF,25V,X5R,1206",10µF,25V,10%,Ceramic,NP,X5R,-55°C,85°C,,SMT,"""1206""",2,,,,
ZPN-0000050-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3225X25N,GRM32ER71A476KE15L,Murata,"CAP,CER,47UF,10V,X7R,1210",47µF,10V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""1210""",2,,,,
ZPN-0000051-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,C0402C100J5HACAUTO,Kemet,"CAP,CER,10PF,50V,X8R,0402,AEC",10pF,50V,5%,Ceramic,NP,X7R,-55°C,150°C,AEC,SMT,"""0402""",2,,,,
ZPN-0000053-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3225X25N,GCJ32DC72A475KE01L,Murata,"CAP,CER,4.7UF,100V,X7S,1210",4.7µF,100V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""1210""",2,,,,
ZPN-0000054-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3225X25N,CL32B226KAJNNNE,Samsung,"CAP,CER,22UF,25V,X7R,1210",22µF,25V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""1210""",2,,,,
ZPN-0000055-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,12063D106KAT2A,Kyocera,"CAP,CER,100NF,100V,X7R,0603",100nF,100V,10%,Ceramic,NP,X7R,-55°C,85°C,,SMT,"""0603""",2,,,,
ZPN-0000128-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,GRM155R71H102KA01J,Murata,"CAP,CER,1NF,50V,X7R,0402",1nF,50V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0402""",2,,,,
ZPN-0000129-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,GRM155R71H104KE14J,Murata,"CAP,CER,100NF,50V,X7R,0402",100nF,50V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0402""",2,,,,
ZPN-0000130-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,GRM155R71H103KA88J,Murata,"CAP,CER,10NF,50V,X7R,0402",10nF,50V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0402""",2,,,,
ZPN-0000131-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,GRM155R71H221KA01J,Murata,"CAP,CER,220PF,50V,X7R,0402",220pF,50V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0402""",2,,,,
ZPN-0000132-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R72A104KA35J,Murata,"CAP,CER,100NF,100V,X7R,0603",100nF,100V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000133-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R72A103KA01J,Murata,"CAP,CER,10NF,100V,X7R,0603",10nF,100V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000133-2,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R72A103KA01J,Murata,"CAP,CER,10NF,100V,X7R,0603",10nF,100V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000134-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R71A225KE15J,Murata,"CAP,CER,2.2UF,10V,X7R,0603",2.2µF,10V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000135-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188Z71A475KE15J,Murata,"CAP,CER,4.7UF,10V,X7R,0603",4.7µF,10V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000136-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R72E681KW07D,Murata,"CAP,CER,680PF,250V,X7R,0603",680pF,250V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000137-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CL21A106KAYNNNE,Samsung,"CAP,CER,10UF,25V,X5R,0805",10µF,25V,10%,Ceramic,NP,X5R,-55°C,85°C,,SMT,"""0805""",2,,,,
ZPN-0000138-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CGA4J3X7R1C475K125AB,TDK,"CAP,CER,4.7UF,16V,X7R,0805",4.7µF,16V,10%,Ceramic,NP,X7R,-55°C,85°C,,SMT,"""0805""",2,,,,
ZPN-0000138-2,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CGA4J3X7R1C475K125AB,TDK,"CAP,CER,4.7UF,16V,X7R,0805",4.7µF,16V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0805""",2,,,,
ZPN-0000139-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CGA4J3X5R1A106K125AB,TDK,"CAP,CER,10UF,10V,X5R,0805",10µF,10V,10%,Ceramic,NP,X5R,-55°C,85°C,,SMT,"""0805""",2,,,,
ZPN-0000141-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CGA4J3X7R1E105K125AB,TDK,"CAP,CER,1UF,25V,X7R,0805",1µF,25V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0805""",2,,,,
ZPN-0000142-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC2012X12N,CGA4F2X7R2A102K085AE,TDK,"CAP,CER,1NF,100V,X7R,0805",1nF,100V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0805""",2,,,,
ZPN-0000143-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,CGA3E1X7R1E224K080AC,TDK,"CAP,CER,220NF,25V,X7R,0603",220nF,25V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000144-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,CGA3E1X7R1E105K080AC,TDK,"CAP,CER,1UF,25V,X7R,0603",1µF,25V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000145-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3216X17N1,CGA5L1X7R1E106K160AC,TDK,"CAP,CER,10UF,25V,X7R,1206",10µF,25V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""1206""",2,,,,
ZPN-0000148-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1005X06N,GRM1555C1H120JA01D,Murata,"CAP,CER,12PF,50V,C0G,0402",12pF,50V,5%,Ceramic,NP,N0P,-55°C,125°C,,SMT,"""0402""",2,,,,
ZPN-0000155-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,GRM188R72E102KW07D,Murata,"CAP,CER,1NF,250V,X7R,0603",1nF,250V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000158-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC3216X17N1,1206GC102KAT2A,KYOCERA,"CAP,CER,1NF,2KV,X7R,1206",1nF,2kV,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""1206""",2,,,,
ZPN-0000190-1,Zelos_Standard:Capacitor-Non_Polarized,Zelos:CAPC1608X10N,CGA3E2X7R1H333K080AA,TDK,"CAP,CER,33NF,50V,X7R,0603",33nF,50V,10%,Ceramic,NP,X7R,-55°C,125°C,,SMT,"""0603""",2,,,,
ZPN-0000070-1,Zelos_Standard:Capacitor-Polarized,Zelos:CAPAE109103X105N,UUX2A470MNL1GS,Nichicon,"CAP,ALU,47UF,100V,20%,SMD,10.3MMx10.3MM",47uF,100V,20%,"""Electrolytic Aluminium""",Polarized,,-55°C,105°C,,SMT,"""SMD - 10.3mm x 10.3mm""",2,,,230mA,"""2000Hrs @105C"""
